ID,Featurename,TerminalName,NBBikes,NBEmptydoc,UploadDate,Coordinates
26,Beach St - Port Melbourne,60029,20,19,28/01/2016 12:30:05 PM +0000,"(-37.841954, 144.935296)"
27,New Quay Prom / Harbour Esp - Docklands,60028,6,21,28/01/2016 12:30:05 PM +0000,"(-37.814117, 144.944081)"
28,Queensbridge St / Yarra River - Southbank,60035,4,11,28/01/2016 12:30:05 PM +0000,"(-37.821071, 144.961113)"
29,Southern Cross Station - Spencer St - City,60034,2,24,28/01/2016 12:30:05 PM +0000,"(-37.818124, 144.953581)"
30,Gasworks Arts Park - Pickles St - Albert Park,60023,6,5,28/01/2016 12:30:05 PM +0000,"(-37.842174, 144.946051)"
31,Cleve Gardens - Fitzroy St - St Kilda,60032,12,3,28/01/2016 12:30:05 PM +0000,"(-37.861984, 144.97341)"
32,West Beach Pavilion - Beaconsfield Pde - St Kilda West,60030,6,9,28/01/2016 12:30:05 PM +0000,"(-37.858553, 144.969101)"
33,Siddeley St / Seafarers Bridge - Docklands,60031,19,4,28/01/2016 12:30:05 PM +0000,"(-37.823124, 144.951918)"
34,RACV - Bourke St / New Chancery Ln - City,60013,8,3,28/01/2016 12:30:05 PM +0000,"(-37.815505, 144.959278)"
35,Yorkshire Brewery - Wellington St - Collingwood,60033,5,2,28/01/2016 12:30:05 PM +0000,"(-37.805997, 144.986953)"
36,Napier St / Victoria Pde - Fitzroy,60022,7,4,28/01/2016 12:30:05 PM +0000,"(-37.808266, 144.979005)"
37,University Square - Grattan St - Carlton,60045,4,11,28/01/2016 12:30:05 PM +0000,"(-37.800214, 144.960313)"
38,Aquarium - Kings Way / Flinders St - City,60046,7,4,28/01/2016 12:30:05 PM +0000,"(-37.821324, 144.958318)"
39,Richmond Station - Brunton Ave - East Melbourne,60020,11,8,28/01/2016 12:30:06 PM +0000,"(-37.822962, 144.988507)"
40,Rod Laver Arena - Batman Ave / Swan St - City,60047,12,10,28/01/2016 12:30:06 PM +0000,"(-37.822987, 144.978459)"
41,Domain Interchange - Park St / St Kilda Rd - Melbourne,60016,14,1,28/01/2016 12:30:06 PM +0000,"(-37.832396, 144.971678)"
42,Kings Way / St Kilda Rd - Melbourne,60018,21,5,28/01/2016 12:30:06 PM +0000,"(-37.836323, 144.975162)"
43,Spring St / Collins St - City,60019,8,3,28/01/2016 12:30:06 PM +0000,"(-37.813774, 144.974054)"
44,Queens Rd / Bowen Cres - Melbourne,60036,12,3,28/01/2016 12:30:06 PM +0000,"(-37.835383, 144.973699)"
45,Luna Park - Lower Esp - St Kilda,60037,19,20,28/01/2016 12:30:06 PM +0000,"(-37.867068, 144.976428)"
46,South Melbourne Market - York St / Cecil St - South Melbourne,60039,9,6,28/01/2016 12:30:06 PM +0000,"(-37.831475, 144.957511)"
47,VCAM - St Kilda Rd / Southbank Blvd - Southbank,60040,6,5,28/01/2016 12:30:06 PM +0000,"(-37.824088, 144.970085)"
48,Museum - Rathdowne St - Carlton,60041,4,11,28/01/2016 12:30:06 PM +0000,"(-37.803868, 144.969609)"
49,Jolimont Station - Wellington Pde South - East Melbourne,60042,3,8,28/01/2016 12:30:06 PM +0000,"(-37.816731, 144.982006)"
50,ACCA - Sturt St - Southbank,60043,15,8,28/01/2016 12:30:06 PM +0000,"(-37.826578, 144.966542)"
51,ANZ - Collins St - Docklands,60044,9,10,28/01/2016 12:30:06 PM +0000,"(-37.821568, 144.944488)"
52,Flagstaff Gardens - Peel St - West Melbourne,60048,6,5,28/01/2016 12:30:06 PM +0000,"(-37.809216, 144.955223)"
53,Victoria Market - Elizabeth St / Victoria St - City,60049,15,10,28/01/2016 12:30:06 PM +0000,"(-37.806091, 144.959017)"
55,Coventry St / Clarendon St - South Melbourne,60050,7,4,28/01/2016 12:30:06 PM +0000,"(-37.831776, 144.960818)"
57,Fitzroy Street - St Kilda,60052,19,12,28/01/2016 12:30:06 PM +0000,"(-37.858655, 144.978818)"
