date,arrival,Hong kong,Hong kong dollar,Sheung Wan ,Tai Ping Shan Street,Hong kong central,Hong Kong Disneyland,hong kong dollar to rmb,hkd to usd,Hong Kong cuisine,hong kong food,hong kong yum cha,hong kong best food,hong kong chinese food,hong kong food blog,hong kong hotel,silka hotel hong kong,hotel hong kong kowloon,crowne plaza hong kong kowloon east,Grand Hyatt Hong Kong,airbnb,hong kong accommodation,flights to hong kong,cathay pacific,hong kong to macau travel time,hong kong macau ferry,hong kong airport to macau,hong kong ferry terminal,ferry macau to hong kong airport,hong kong ferry,hongkong macau,hong kong airport,hong kong airport express,hong kong mtr hours,hong kong Transportation ,air asia,Hong Kong Airlines,agoda hong kong,asia travel hong kong,ocean park hong kong,hong kong map,singapore to hong kong,china mainland to hong kong,hong kong light show,skyscanner,ladies market hong kong opening hours,Shopping in Hong Kong,citygate outlet,hong kong shopping festival,hong kong casino,what to do in hong kong,nightlife hong kong,hong kong clubs,lan kwai fong,hong kong weather,occupy central,hongkong customs,hong kong cheap flight,Avenue of Stars,travel Tsim Sha Tsui,hong kong dollar to,hong kong currency,hong kong restaurant,hong kong travel,travel to Hong Kong,hong kong michelin,hong kong hotel central,hong kong hotel central.1,hong kong macao,hong kong asian,Hong Kong television drama,thai to hong kong,macau to hong kong,china hong kong,map hong kong,taiwan hong kong,japan hong kong,korea hong kong,mobile hong kong,eat hong kon,US hong kong,UK hong kong,shopping hong kong,street hong kong,price hong kong,ticket hong kong,train hong kong,bus hong kong,taxi hong kong,holiday hong kong,festival hong kong,hot hong kong,temperature hong kong,bar hong kong,air asia Hong Kong,Yum cha,Hong Kong Convention and Exhibition Centre
2012-11,48522,84,49,22,73,48,62,73,17,20,74,44,35,0,73,80,73,68,100,41,9,57,67,78,73,35,23,22,73,32,46,73,80,73,73,20,58,77,35,66,66,79,73,24,22,73,52,73,0,34,51,73,73,53,56,0,73,71,23,73,32,80,93,69,40,34,60,60,47,83,73,58,65,73,60,89,74,63,59,73,46,71,55,51,87,67,52,44,25,51,14,33,74,67,59,73,33
2012-12,57043,80,49,12,85,36,65,85,30,22,59,47,25,25,85,64,85,44,35,39,8,45,65,77,85,83,32,24,85,37,59,92,49,85,85,17,66,45,62,44,72,84,85,39,21,85,46,85,0,43,50,85,85,35,60,0,85,35,49,85,37,47,67,57,49,51,57,57,100,100,85,51,63,74,86,91,58,100,59,85,52,74,55,47,67,65,53,17,70,55,15,24,48,53,58,85,35
2013-01,60462,85,71,31,82,45,80,82,41,10,59,31,22,22,82,77,82,77,0,55,11,56,83,81,82,41,21,21,82,41,17,82,76,82,82,24,81,77,66,36,83,90,82,46,30,82,73,82,0,32,75,82,82,36,53,0,82,49,22,82,41,44,65,67,60,32,50,50,22,69,82,45,60,61,77,66,49,47,52,82,51,72,71,38,70,100,79,48,54,69,68,64,70,47,100,82,63
2013-02,33145,80,56,44,81,34,89,81,50,31,49,44,35,0,81,78,81,66,0,16,11,68,68,80,81,79,30,33,81,29,56,71,81,81,81,19,74,94,70,83,64,72,81,24,34,81,69,81,0,48,51,81,81,21,47,0,81,57,47,81,50,45,61,93,78,41,40,40,71,36,81,29,81,66,57,36,60,44,68,81,46,47,52,27,74,67,62,55,33,58,43,22,62,47,47,81,100
2013-03,59686,85,70,20,78,41,80,78,55,9,44,50,21,0,78,76,78,75,45,48,12,82,68,81,78,63,40,20,78,26,33,84,72,78,78,18,64,100,63,63,78,85,78,22,34,78,65,78,0,12,89,78,78,26,54,3,78,51,21,78,56,77,65,70,68,37,36,36,21,55,78,60,73,80,65,45,70,62,73,78,37,54,64,79,68,95,59,29,22,62,78,60,52,63,46,78,30
2013-04,57228,83,70,29,85,53,83,85,51,0,69,30,42,42,85,78,85,83,46,19,12,86,82,79,85,55,40,0,85,24,17,77,52,85,85,20,70,54,21,52,96,75,85,65,35,85,57,85,0,55,75,85,85,29,48,0,85,60,42,85,57,71,75,75,59,49,24,24,21,72,85,35,62,71,100,63,61,62,69,85,44,57,56,58,68,60,75,29,37,83,59,61,78,66,65,85,30
2013-05,44665,76,50,28,83,46,72,83,49,26,50,0,20,20,83,68,83,68,29,28,13,89,55,78,83,76,13,38,83,25,64,75,39,83,83,18,58,18,50,46,81,53,83,42,37,83,74,83,0,47,37,83,83,15,46,0,83,53,40,83,51,73,62,64,48,35,11,11,0,72,83,50,54,59,69,66,62,43,99,83,37,77,74,49,71,48,58,42,35,55,50,87,46,63,73,83,0
2013-06,47224,79,73,10,88,33,82,88,35,0,69,40,62,42,88,70,88,69,30,15,13,78,82,83,88,72,47,40,88,39,50,86,41,88,88,20,77,42,53,83,76,83,88,65,35,88,62,88,39,55,71,88,88,14,48,0,88,51,42,88,66,71,73,68,68,55,36,36,0,46,88,78,57,67,70,66,64,39,54,88,64,56,56,82,75,75,61,33,29,62,52,51,74,75,76,88,30
2013-07,45949,79,68,56,79,39,92,79,56,44,66,38,69,40,79,77,79,81,29,28,14,86,81,75,79,83,51,19,79,25,24,69,69,79,79,21,72,59,50,52,73,80,79,31,35,79,57,79,73,29,54,79,79,19,44,0,79,61,40,79,65,71,88,76,53,35,80,80,0,59,79,33,58,64,73,68,65,43,40,79,37,58,61,43,67,72,63,26,0,77,37,67,39,72,76,79,29
2013-08,38453,82,71,55,83,40,83,83,65,9,54,55,29,39,83,81,83,90,85,45,13,60,65,75,83,80,88,93,83,27,54,85,39,83,83,19,63,61,20,42,75,64,83,100,34,83,74,83,36,45,66,83,83,17,49,0,83,56,49,83,64,76,76,60,48,23,44,44,20,61,83,48,90,77,93,75,66,32,68,83,68,62,79,71,56,70,55,49,28,60,72,83,51,53,67,83,28
2013-09,57046,91,72,38,72,39,82,72,69,44,58,38,40,0,72,70,72,76,29,36,13,78,100,85,72,75,32,0,72,30,64,99,20,72,72,20,78,70,20,33,82,81,72,21,33,72,57,72,0,24,61,72,72,18,100,0,72,49,30,72,53,73,100,64,60,53,23,23,0,63,72,58,60,79,84,86,68,43,88,72,70,54,51,81,77,72,57,45,35,60,99,19,42,49,58,72,0
2013-10,59049,84,67,54,67,35,87,67,70,100,86,18,57,77,67,76,67,78,0,48,13,66,59,77,67,58,50,36,67,50,46,71,47,67,67,21,58,56,0,60,72,69,67,40,35,67,69,67,0,34,68,67,67,14,51,2,67,47,29,67,64,60,66,72,56,22,55,55,0,39,67,32,73,68,67,87,61,20,94,67,69,55,65,89,71,60,73,50,47,64,24,65,57,60,45,67,55
2013-11,48641,81,62,65,70,59,75,70,71,61,65,37,39,0,70,71,70,86,0,56,15,75,74,75,70,52,51,28,70,28,39,83,49,70,70,21,76,83,30,62,79,92,70,21,35,70,100,70,0,23,50,70,70,24,55,0,70,64,20,70,66,86,58,63,54,40,45,45,40,80,70,65,62,59,76,67,63,43,79,70,42,44,68,58,89,43,72,40,70,61,60,38,52,48,36,70,29
2013-12,58166,77,66,20,82,31,70,82,76,46,55,30,53,43,82,61,82,56,0,45,16,36,60,83,82,32,42,20,82,35,51,72,84,82,82,21,60,47,21,81,56,71,82,33,32,82,31,82,0,25,58,82,82,22,59,3,82,69,21,82,63,54,78,62,66,50,24,24,21,46,82,53,51,55,52,70,63,34,81,82,45,43,61,49,73,46,62,43,60,47,26,10,90,67,54,82,30
2014-01,54937,83,83,36,87,52,90,87,89,68,50,18,58,20,87,79,87,82,57,17,22,82,89,88,87,80,44,37,87,49,31,74,39,87,87,24,82,46,59,71,80,91,87,20,46,87,58,87,0,45,69,87,87,100,53,0,87,59,39,87,71,65,81,75,82,46,55,55,39,82,87,64,67,71,79,97,85,58,67,87,52,45,55,76,67,65,55,36,62,69,48,74,62,87,71,87,28
2014-02,34559,76,67,29,70,37,71,70,70,27,39,19,20,0,70,68,70,69,89,36,21,71,91,83,70,100,73,29,70,41,57,75,81,70,70,24,78,53,41,25,81,75,70,53,46,70,48,70,0,30,66,70,70,52,59,0,70,58,41,70,54,60,56,56,81,24,35,35,41,77,70,51,81,72,83,93,77,28,52,70,50,39,58,74,67,69,58,29,36,57,38,29,76,62,60,70,0
2014-03,50929,85,65,8,69,54,66,69,38,15,67,42,53,36,69,67,69,60,26,38,23,77,82,85,69,40,40,17,69,36,64,88,53,69,69,20,90,49,53,75,88,78,69,19,47,69,59,69,33,47,70,69,69,44,60,2,69,36,36,69,63,67,55,66,66,36,66,66,36,39,69,96,62,59,75,51,79,48,81,69,54,70,55,77,67,38,91,47,50,49,39,26,72,77,52,69,25
2014-04,69005,80,68,62,90,61,81,90,14,8,78,100,47,0,90,66,90,56,28,31,24,65,70,86,90,58,12,46,90,26,61,87,75,90,90,19,64,49,19,55,71,77,90,79,47,90,64,90,0,22,68,90,90,26,51,0,90,62,48,90,55,65,92,58,48,62,60,60,96,51,90,32,73,72,72,71,64,56,38,90,38,37,58,58,64,64,72,45,94,71,30,46,54,66,42,90,54
2014-05,46174,78,52,35,91,48,60,91,16,25,62,36,19,19,91,64,91,44,27,20,24,53,62,94,91,71,37,54,91,31,67,79,46,91,91,18,63,38,19,46,74,93,91,0,52,91,44,91,0,39,64,91,91,25,40,0,91,100,19,91,53,52,85,61,52,66,38,38,38,73,91,39,67,68,70,62,73,50,79,91,51,45,54,60,77,50,82,23,40,67,29,100,47,62,38,91,0
2014-06,46785,77,69,10,80,38,78,80,8,55,71,30,42,0,80,56,80,57,30,30,24,75,79,93,80,48,27,100,80,42,100,83,93,80,80,22,71,42,21,52,78,88,80,22,50,80,65,80,0,55,61,80,80,21,31,8,80,64,42,80,66,68,58,60,50,43,24,24,21,69,80,43,69,66,86,72,81,45,38,80,54,40,43,42,51,40,100,48,37,66,39,51,70,69,76,80,0
2014-07,47225,78,57,39,83,38,72,83,35,45,59,98,51,21,83,65,83,70,60,59,26,62,84,95,83,86,59,49,83,41,25,86,10,83,83,19,72,57,62,53,73,80,83,21,56,83,64,83,0,36,56,83,83,18,37,5,83,67,41,83,57,83,66,69,62,36,35,35,62,58,83,51,77,64,61,76,83,39,57,83,53,56,54,54,58,30,65,43,29,63,13,50,76,83,60,83,29
2014-08,38680,75,42,47,82,56,79,82,64,9,90,38,70,40,82,60,82,53,29,39,29,79,72,96,82,38,52,19,82,10,40,82,20,82,82,19,71,63,61,63,72,82,82,83,52,82,47,82,37,18,85,82,82,19,43,8,82,74,30,82,33,46,77,64,58,29,11,11,60,56,82,58,63,66,73,77,59,43,66,82,54,54,53,72,61,48,72,54,35,52,19,48,57,52,66,82,0
2014-09,55883,93,70,66,74,71,78,74,68,80,61,19,20,0,74,63,74,52,59,65,27,71,68,99,74,76,39,39,74,41,16,100,100,74,74,16,56,30,31,66,70,74,74,42,52,74,35,74,0,41,34,74,74,26,63,54,74,33,30,74,56,65,65,64,56,36,23,23,41,41,74,92,82,81,74,92,84,76,100,74,57,68,49,85,75,87,76,37,100,64,50,49,54,47,44,74,0
2014-10,58023,100,58,45,59,100,53,59,70,17,66,55,48,19,59,64,59,46,28,38,29,42,62,91,59,22,44,65,59,41,15,79,19,59,59,20,63,61,49,26,74,90,59,41,53,59,34,59,35,34,53,59,59,17,50,100,59,55,39,59,54,56,49,77,100,23,17,17,19,97,59,49,43,100,80,75,85,41,50,59,100,52,36,78,63,56,81,54,61,61,49,94,55,89,32,59,0
2014-11,47082,76,72,57,66,41,64,66,96,18,46,38,50,20,66,55,66,55,88,43,30,43,48,85,66,53,58,39,66,15,48,77,50,66,66,18,52,41,20,52,58,68,66,21,56,66,50,66,37,100,62,66,66,17,40,23,66,49,60,66,65,44,62,53,33,83,23,23,41,72,66,67,47,62,67,54,76,11,33,66,56,41,42,53,66,43,67,25,50,54,25,39,82,58,29,66,0
2014-12,54559,74,87,39,77,49,51,77,100,9,59,40,32,21,77,47,77,46,0,26,31,39,50,91,77,32,27,20,77,29,34,74,62,77,77,100,58,19,43,55,60,71,77,44,52,77,37,77,0,37,50,77,77,8,52,13,77,39,21,77,100,59,69,47,36,56,0,0,0,79,77,44,37,54,51,51,66,34,66,77,45,35,46,52,68,66,44,28,81,30,26,21,60,58,42,77,0
2015-01,56544,75,80,100,80,29,66,80,75,42,70,19,68,39,80,66,80,70,71,38,41,64,89,96,80,44,51,37,80,27,39,82,86,80,80,43,60,36,20,59,71,82,80,20,65,80,24,80,0,46,50,80,80,17,49,4,80,56,97,80,67,43,49,61,84,46,33,33,0,73,80,40,56,61,67,72,100,21,46,80,34,56,43,73,51,42,55,48,27,69,30,66,93,76,32,80,28
2015-02,29224,71,72,48,81,44,60,81,67,18,51,19,51,0,81,59,81,63,30,33,39,68,81,99,81,38,20,39,81,28,24,79,30,81,81,14,46,49,21,50,60,73,81,21,60,81,35,81,0,42,38,81,81,9,35,5,81,29,20,81,77,60,61,53,59,36,52,52,62,60,81,67,66,48,53,90,77,27,56,81,45,61,37,41,51,39,36,50,65,53,32,39,72,44,33,81,58
2015-03,49071,77,70,59,68,74,54,68,71,24,78,69,27,0,68,62,68,69,26,42,41,71,55,99,68,48,35,35,68,43,14,89,54,68,68,16,55,44,18,45,70,79,68,19,60,68,32,68,33,21,68,68,68,60,48,5,68,56,27,68,60,74,77,59,52,53,52,52,37,71,68,15,88,52,68,55,76,39,57,68,36,46,43,71,53,92,66,54,51,49,23,80,68,71,40,68,0
2015-04,55295,74,60,80,94,21,69,94,75,0,49,27,28,19,94,62,94,59,55,30,44,52,60,98,94,65,37,18,94,26,46,79,28,94,94,11,53,28,19,44,87,83,94,30,58,94,54,94,0,28,78,94,94,19,50,2,94,55,0,94,54,74,82,66,62,95,44,44,0,63,94,24,47,56,77,93,72,56,38,94,47,40,47,75,64,73,67,52,81,49,48,37,61,88,7,94,27
2015-05,46838,72,77,69,89,46,56,89,73,40,62,52,18,0,89,53,89,52,53,39,46,64,69,84,89,41,36,18,89,28,36,83,73,89,89,13,48,47,18,53,76,88,89,19,62,89,50,89,51,32,56,89,89,13,37,2,89,37,0,89,67,53,82,51,49,65,63,63,19,46,89,46,62,61,64,84,65,20,74,89,45,41,46,43,52,53,54,37,59,62,23,35,68,48,37,89,0
2015-06,46188,72,67,60,80,55,67,80,94,64,67,62,46,19,80,56,80,40,68,36,48,52,78,84,80,43,24,27,80,28,15,73,73,80,80,14,46,31,47,46,64,75,80,39,59,80,48,80,0,11,54,80,80,17,35,0,80,30,37,80,84,53,78,61,46,55,59,59,0,70,80,31,57,63,57,69,75,60,51,80,39,54,30,59,56,36,72,52,13,39,6,45,49,64,17,80,53
2015-07,43224,69,65,42,100,50,61,100,86,32,65,43,45,73,100,49,100,70,26,32,48,64,71,76,100,82,47,52,100,25,29,76,45,100,100,15,55,33,36,32,57,99,100,19,69,100,45,100,0,42,74,100,100,14,42,0,100,41,45,100,76,50,62,46,40,37,41,41,55,62,100,60,61,63,60,52,59,73,36,100,34,42,33,63,57,35,82,46,26,40,11,35,61,50,26,100,0
2015-08,35957,70,85,66,94,50,63,94,84,54,76,33,35,35,94,63,94,59,50,22,50,62,60,81,94,52,34,49,94,35,35,84,78,94,94,15,61,22,0,50,77,85,94,18,65,94,47,94,0,20,71,94,94,9,40,2,94,43,35,94,77,50,64,60,51,30,45,45,53,92,94,57,52,55,81,64,90,42,57,94,49,50,48,69,53,46,68,39,43,45,11,17,58,83,22,94,75
2015-09,53012,76,83,68,85,55,73,85,98,39,52,35,45,18,85,54,85,44,26,35,52,54,59,92,85,62,70,43,85,16,51,83,18,85,85,15,53,37,18,50,66,84,85,38,64,85,27,85,0,21,71,85,85,16,42,7,85,48,100,85,67,43,67,61,48,32,36,36,0,45,85,45,54,65,54,78,66,39,53,85,57,37,32,52,67,52,53,33,19,55,57,18,71,57,30,85,26
2015-10,55982,76,64,40,75,52,61,75,82,15,75,25,17,17,75,63,75,47,62,37,51,54,69,100,75,58,39,49,75,41,62,85,85,75,75,13,50,44,26,47,78,99,75,18,66,75,43,75,0,30,61,75,75,47,46,0,75,39,78,75,66,61,65,62,52,71,29,29,52,59,75,100,57,68,70,74,65,46,28,75,38,38,44,52,72,58,53,42,79,53,43,58,64,69,34,75,25
2015-11,49207,72,71,40,80,39,60,80,68,23,75,58,35,70,80,50,80,43,50,28,55,55,59,92,80,74,45,42,80,54,42,78,68,80,80,18,58,42,17,43,67,62,80,18,66,80,50,80,0,26,86,80,80,12,47,2,80,36,35,80,62,52,91,49,57,57,30,30,52,63,80,29,67,69,64,90,82,33,32,80,41,47,44,78,62,80,64,47,24,38,22,43,77,48,22,80,50
2015-12,53728,71,58,26,93,36,49,93,79,33,60,89,19,0,93,50,93,46,27,100,56,54,56,82,93,57,24,27,93,42,60,75,28,93,93,13,52,31,38,46,58,76,93,59,67,93,39,93,0,27,45,93,93,16,57,0,93,61,28,93,52,45,56,55,42,38,43,43,19,76,93,54,61,55,47,70,79,25,52,93,44,33,49,52,59,72,45,54,66,36,23,45,63,84,24,93,27
2016-01,52005,73,100,69,99,34,65,99,77,16,57,44,37,56,99,51,99,51,27,26,63,61,68,74,99,42,24,53,99,21,52,70,36,99,99,16,80,44,47,46,68,84,99,48,70,99,39,99,0,33,60,99,99,8,57,0,99,38,37,99,75,51,80,47,53,54,26,26,19,41,99,46,60,58,73,37,67,50,31,99,54,46,27,51,70,67,76,45,39,50,35,36,59,80,37,99,0
2016-02,28700,68,70,53,81,41,58,81,86,8,66,36,47,19,81,59,81,62,0,40,59,44,69,69,81,35,24,27,81,26,15,70,46,81,81,14,57,21,57,33,59,85,81,20,68,81,35,81,0,44,67,81,81,15,47,2,81,35,28,81,82,45,63,50,56,28,48,48,38,62,81,39,50,57,58,62,78,40,48,81,46,31,27,44,60,54,58,26,7,60,35,54,60,62,10,81,0
2016-03,53551,71,64,41,83,38,65,83,68,23,74,58,34,17,83,53,83,52,25,12,56,43,65,69,83,32,17,50,83,31,55,77,43,83,83,14,51,13,17,57,56,85,83,27,63,83,41,83,0,40,41,83,83,19,50,2,83,28,35,83,71,46,59,48,61,35,25,25,52,67,83,50,47,53,60,44,72,65,57,83,36,30,35,43,62,62,45,50,24,42,16,17,58,57,25,83,25
2016-04,59200,82,87,42,96,56,60,96,72,0,72,61,36,18,96,50,96,65,79,48,57,45,51,69,96,41,83,43,96,18,36,76,89,96,96,13,54,13,46,35,64,85,96,19,68,96,27,96,0,32,68,96,96,31,51,2,96,26,18,96,77,37,52,53,59,59,26,26,18,57,96,45,57,51,56,52,71,44,37,96,53,54,42,60,54,57,65,56,45,47,40,18,64,73,23,96,0
2016-05,48768,68,68,65,86,50,50,86,98,61,72,33,69,35,86,48,86,45,0,37,59,30,52,69,86,64,17,49,86,31,14,70,86,86,86,13,50,6,26,42,66,82,86,27,72,86,30,86,32,25,67,86,86,9,34,4,86,32,26,86,56,39,57,55,61,40,34,34,35,70,86,43,51,61,64,54,57,23,38,86,52,43,29,60,51,78,71,35,49,47,42,25,52,54,34,86,25
2016-06,46829,67,80,59,87,37,63,87,81,23,87,17,36,18,87,54,87,32,26,38,63,53,60,72,87,20,17,26,87,22,28,75,71,87,87,15,61,20,18,29,65,77,87,19,70,87,20,87,33,21,61,87,87,11,32,2,87,33,18,87,77,44,71,52,58,37,31,31,36,64,87,44,47,58,70,61,66,53,39,87,44,40,29,49,57,82,58,20,63,38,56,26,60,52,23,87,51
2016-07,44539,61,74,17,90,43,58,90,63,16,58,44,28,0,90,41,90,37,27,46,64,26,54,60,90,85,48,18,90,23,15,63,18,90,90,13,50,24,19,46,60,74,90,19,64,90,32,90,35,11,48,90,90,8,28,2,90,30,19,90,75,39,71,41,45,49,21,21,19,55,90,23,49,50,68,61,54,20,44,90,39,25,31,35,51,58,51,33,13,36,29,36,63,59,24,90,27
2016-08,34582,66,87,51,76,38,47,76,71,8,70,17,0,18,76,43,76,31,0,26,62,32,54,60,76,63,23,35,76,44,37,66,72,76,76,11,70,17,19,40,62,77,76,38,69,76,20,76,0,27,62,76,76,13,35,5,76,19,46,76,55,25,42,49,41,54,37,37,18,52,76,53,59,60,59,52,63,39,27,76,49,41,26,58,54,35,52,34,6,46,23,18,32,61,13,76,0
2016-09,51021,70,82,35,80,41,53,80,78,41,86,18,66,0,80,53,80,46,27,37,68,45,55,62,80,57,36,54,80,43,45,71,56,80,80,13,64,35,19,41,67,66,80,39,76,80,33,80,0,33,51,80,80,12,42,0,80,27,38,80,66,50,61,54,44,44,16,16,0,47,80,47,55,59,62,64,61,40,38,80,40,40,27,54,60,63,52,33,40,49,47,36,40,57,21,80,27
2016-10,58011,77,59,68,76,24,49,76,58,47,61,34,45,0,76,48,76,38,0,26,71,43,56,72,76,55,29,69,76,25,50,80,36,76,76,11,74,13,27,25,56,93,76,38,76,76,34,76,0,32,49,76,76,12,63,2,76,33,18,76,70,40,52,60,47,42,41,41,18,59,76,37,55,59,56,62,66,24,56,76,61,58,33,60,52,65,56,46,25,42,34,17,54,68,26,76,52
2016-11,46790,68,67,59,70,40,58,70,70,40,74,26,45,18,70,45,70,36,26,26,71,48,54,61,70,28,35,35,70,32,22,68,54,70,70,13,67,7,18,40,40,72,70,19,76,70,31,70,0,59,56,70,70,15,41,0,70,33,55,70,79,33,74,46,48,53,52,52,0,43,70,38,45,55,35,52,68,59,47,70,49,42,24,42,68,39,65,43,51,26,23,35,81,55,20,70,0
2016-12,51816,65,82,18,85,41,38,85,56,25,63,36,46,19,85,36,85,37,0,13,70,39,60,64,85,21,25,18,85,21,52,63,9,85,85,11,56,14,19,41,48,74,85,0,69,85,35,85,0,33,44,85,85,8,46,0,85,15,56,85,84,20,64,46,61,22,27,27,0,58,85,31,45,43,47,88,54,30,68,85,55,43,29,63,56,54,45,31,40,31,23,36,93,59,20,85,27
2017-01,48746,67,83,33,98,55,66,98,69,8,51,33,35,35,98,49,98,51,51,16,91,59,60,80,98,27,51,42,98,35,63,64,52,98,98,12,60,19,44,57,55,75,98,18,88,98,30,98,0,56,74,98,98,10,44,0,98,32,17,98,90,48,67,64,68,36,100,100,18,41,98,29,56,52,51,80,74,56,38,98,45,39,27,61,63,46,63,34,43,52,38,34,43,45,19,98,0
